barcode,description,finalPrice,itemPrice,needsFetchReview,partnerItemId,preventTargetGapPoints,quantityPurchased,userFlaggedBarcode,userFlaggedNewItem,userFlaggedPrice,userFlaggedQuantity,needsFetchReviewReason,pointsNotAwardedReason,pointsPayerId,rewardsGroup,rewardsProductPartnerId,userFlaggedDescription,originalMetaBriteBarcode,originalMetaBriteDescription,brandCode,competitorRewardsGroup,discountedItemPrice,originalReceiptItemText,itemNumber,originalMetaBriteQuantityPurchased,pointsEarned,targetPrice,competitiveProduct,originalFinalPrice,originalMetaBriteItemPrice,deleted,priceAfterCoupon,metabriteCampaignId,_id_$oid
75925306254,,1,1,0,1,0,1,,0,,,,,,SARGENTO NATURAL SHREDDED CHEESE 6OZ OR LARGER,5e7cf838f221c312e698a628,,,,,,,,,,0,,1,,,0,,,5ff1e1b40a7214ada100055b
,,,,1,2,1,,34100573065,1,29,1,USER_FLAGGED,,,,,MILLER LITE 24 PACK 12OZ CAN,,,,,,,,,0,,0,,,0,,,5ff1e1b40a7214ada100055b
,,,,1,3,1,,34100573065,1,29,1,USER_FLAGGED,,,,,MILLER LITE 24 PACK 12OZ CAN,,,,,,,,,0,,0,,,0,,,5ff1e1b40a7214ada100055b
,,,,1,4,1,,34100573065,1,29,1,USER_FLAGGED,,,,,MILLER LITE 24 PACK 12OZ CAN,,,,,,,,,0,,0,,,0,,,5ff1e1b40a7214ada100055b
,,,,1,5,1,,34100573065,1,29,1,USER_FLAGGED,,,,,MILLER LITE 24 PACK 12OZ CAN,,,,,,,,,0,,0,,,0,,,5ff1e1b40a7214ada100055b
,,,,1,6,1,,34100573065,1,29,1,USER_FLAGGED,,,,,MILLER LITE 24 PACK 12OZ CAN,,,,,,,,,0,,0,,,0,,,5ff1e1b40a7214ada100055b
,,,,1,7,1,,34100573065,1,29,1,USER_FLAGGED,,,,,MILLER LITE 24 PACK 12OZ CAN,,,,,,,,,0,,0,,,0,,,5ff1e1b40a7214ada100055b
,,,,1,8,1,,34100573065,1,29,1,USER_FLAGGED,,,,,MILLER LITE 24 PACK 12OZ CAN,,,,,,,,,0,,0,,,0,,,5ff1e1b40a7214ada100055b
,,,,1,9,1,,34100573065,1,29,1,USER_FLAGGED,,,,,MILLER LITE 24 PACK 12OZ CAN,,,,,,,,,0,,0,,,0,,,5ff1e1b40a7214ada100055b
,,,,1,10,1,,34100573065,1,29,1,USER_FLAGGED,,,,,MILLER LITE 24 PACK 12OZ CAN,,,,,,,,,0,,0,,,0,,,5ff1e1b40a7214ada100055b
,,,,1,11,1,,34100573065,1,29,1,USER_FLAGGED,,,,,MILLER LITE 24 PACK 12OZ CAN,,,,,,,,,0,,0,,,0,,,5ff1e1b40a7214ada100055b
4011,ITEM NOT FOUND,26,26,0,1,1,2,4011,1,26,2,,,,,,,,,,,,,,,0,,0,,,0,,,5ff1e1eb0a720f0523000576
4011,ITEM NOT FOUND,1,1,0,1,0,1,,0,,,,,,,,,,,,,,,,,0,,0,,,0,,,5ff1e1c80a720f052300056d
1234,,,,1,2,1,,1234,1,,,USER_FLAGGED,,,,,,,,,,,,,,0,,0,,,0,,,5ff1e1c80a720f052300056d
75925306254,,1,1,0,1,0,1,,0,,,,,,SARGENTO NATURAL SHREDDED CHEESE 6OZ OR LARGER,5e7cf838f221c312e698a628,,,,,,,,,,0,,1,,,0,,,5f9c74f90a7214ad07000038
75925306254,,10,10,0,2,1,2,75925306254,1,10,2,,,,SARGENTO NATURAL SHREDDED CHEESE 6OZ OR LARGER,5e7cf838f221c312e698a628,,75925306254,,,,,,,2,0,,1,10,10,0,,,5f9c74f90a7214ad07000038
34100573065,MILLER LITE 24 PACK 12OZ CAN,1,1,0,3,1,1,34100573065,1,1,1,,,5332f709e4b03c9a25efd0f1,MILLER LITE 24 PACK,5332f709e4b03c9a25efd0f1,,34100573065,MILLER LITE 24 PACK 12OZ CAN,,,,,,1,30,77,0,1,1,0,,,5f9c74f90a7214ad07000038
34100573065,MILLER LITE 24 PACK 12OZ CAN,1,1,0,4,1,1,34100573065,1,1,1,,,5332f709e4b03c9a25efd0f1,MILLER LITE 24 PACK,5332f709e4b03c9a25efd0f1,,34100573065,MILLER LITE 24 PACK 12OZ CAN,,,,,,1,30,77,0,1,1,0,,,5f9c74f90a7214ad07000038
34100573065,MILLER LITE 24 PACK 12OZ CAN,1,1,0,5,1,1,34100573065,1,1,1,,,5332f709e4b03c9a25efd0f1,MILLER LITE 24 PACK,5332f709e4b03c9a25efd0f1,,,,,,,,,,30,77,0,,,0,,,5f9c74f90a7214ad07000038
4011,ITEM NOT FOUND,1,1,0,1,0,1,,0,,,,,,,,,,,,,,,,,0,,0,,,0,,,5ff1e1960a720f0523000567
4011,ITEM NOT FOUND,21,21,0,1,1,2,4011,1,21,2,,,,,,,,,,,,,,,0,,0,,,0,,,5ff1e1ec0a7214ada100056c
41000168468,KNORR ASSORTED PASTA SIDE DISH POUCH IN CARDBORD BX 34.4 OZ,1,1,0,1,0,1,,0,,,,,5332f5f6e4b03c9a25efd0b4,KNORR SIDES,5332f5f6e4b03c9a25efd0b4,,,,,,,,,,10,800,0,,,0,,,5ff1e1d70a720f0523000571
2700719497082,NEXXUS REPLENISHING HAIR TREATMENT LIQUID RP 33.8 OZ,1,1,0,2,0,1,,0,,,,,5332f5f6e4b03c9a25efd0b4,NEXXUS HAIR CARE,5332f5f6e4b03c9a25efd0b4,,,,,,,,,,10,800,0,,,0,,,5ff1e1d70a720f0523000571
4011,ITEM NOT FOUND,1,1,0,1,0,1,,0,,,,,,,,,,,,,,,,,0,,0,,,0,,,5ff1e1c60a7214ada100055e
1234,,,,1,2,1,,1234,1,,,USER_FLAGGED,,,,,,,,,,,,,,0,,0,,,0,,,5ff1e1c60a7214ada100055e
4011,ITEM NOT FOUND,27,27,0,1,1,5,4011,1,27,5,,,,,,,,,,,,,,,0,,0,,,0,,,5ff1e1ee0a7214ada1000570
4011,ITEM NOT FOUND,1,1,0,1,0,1,,0,,,,,,,,,,,,,,,,,0,,0,,,0,,,5ff1e1cf0a720f0523000570
1234,,,,1,2,1,,1234,1,,,USER_FLAGGED,,,,,,,,,,,,,,0,,0,,,0,,,5ff1e1cf0a720f0523000570
79400066619,SUAVE PROFESSIONALS MOISTURIZING SHAMPOO LIQUID PLASTIC BOTTLE RP 12.6 OZ - 0079400066612,1,1,0,1,1,1,79400066619,0,,,,,5332f5f6e4b03c9a25efd0b4,SUAVE HAIR CARE,5332f5f6e4b03c9a25efd0b4,,80878042197,,,,,,,,10,800,1,,,0,,,5ff1e1e10a720f0523000572
,DELETED ITEM,1,1,0,1,0,1,,0,,,,,,,,,,,,,,,,,0,,0,,,1,,,5ff1e1d40a7214ada1000562
51500720011,JIF CRMY PNT BTR JAR 40 OZ,2,2,0,2,0,2,,0,,,,,,,,,,,,,,,,,0,,0,,,0,,,5ff1e1d40a7214ada1000562
4011,ITEM NOT FOUND,27,27,0,1,1,4,4011,1,27,4,,,,,,,,,,,,,,,0,,0,,,0,,,5ff1e1ee0a720f0523000578
87684001127,CAPRI SUN Roarin' Waters Tropical Fruit Juice Drinks 10 ct,1,1,0,1,0,1,,0,,,,,559c2234e4b06aca36af13c6,CAPRI SUN ROARIN' WATERS BEVERAGE DRINK,559c2234e4b06aca36af13c6,,,,,,,,,,5,800,0,,,0,,,5ff371030a7214ada10005a5
87684001127,CAPRI SUN Roarin' Waters Tropical Fruit Juice Drinks 10 ct,1,1,0,2,0,1,,0,,,,,559c2234e4b06aca36af13c6,CAPRI SUN ROARIN' WATERS BEVERAGE DRINK,559c2234e4b06aca36af13c6,,,,,,,,,,5,800,0,,,0,,,5ff371030a7214ada10005a5
87684001127,CAPRI SUN Roarin' Waters Tropical Fruit Juice Drinks 10 ct,1,1,0,3,0,1,,0,,,,,559c2234e4b06aca36af13c6,CAPRI SUN ROARIN' WATERS BEVERAGE DRINK,559c2234e4b06aca36af13c6,,,,,,,,,,5,800,0,,,0,,,5ff371030a7214ada10005a5
87684001127,CAPRI SUN Roarin' Waters Tropical Fruit Juice Drinks 10 ct,1,1,0,4,0,1,,0,,,,,559c2234e4b06aca36af13c6,CAPRI SUN ROARIN' WATERS BEVERAGE DRINK,559c2234e4b06aca36af13c6,,,,,,,,,,5,800,0,,,0,,,5ff371030a7214ada10005a5
87684001127,CAPRI SUN Roarin' Waters Tropical Fruit Juice Drinks 10 ct,1,1,0,5,0,1,,0,,,,,559c2234e4b06aca36af13c6,CAPRI SUN ROARIN' WATERS BEVERAGE DRINK,559c2234e4b06aca36af13c6,,,,,,,,,,5,800,0,,,0,,,5ff371030a7214ada10005a5
87684001127,CAPRI SUN Roarin' Waters Tropical Fruit Juice Drinks 10 ct,1,1,0,6,0,1,,0,,,,,559c2234e4b06aca36af13c6,CAPRI SUN ROARIN' WATERS BEVERAGE DRINK,559c2234e4b06aca36af13c6,,,,,,,,,,5,800,0,,,0,,,5ff371030a7214ada10005a5
87684001127,CAPRI SUN Roarin' Waters Tropical Fruit Juice Drinks 10 ct,1,1,0,7,0,1,,0,,,,,559c2234e4b06aca36af13c6,CAPRI SUN ROARIN' WATERS BEVERAGE DRINK,559c2234e4b06aca36af13c6,,,,,,,,,,5,800,0,,,0,,,5ff371030a7214ada10005a5
87684001127,CAPRI SUN Roarin' Waters Tropical Fruit Juice Drinks 10 ct,1,1,0,8,0,1,,0,,,,,559c2234e4b06aca36af13c6,CAPRI SUN ROARIN' WATERS BEVERAGE DRINK,559c2234e4b06aca36af13c6,,,,,,,,,,5,800,0,,,0,,,5ff371030a7214ada10005a5
87684001127,CAPRI SUN Roarin' Waters Tropical Fruit Juice Drinks 10 ct,1,1,0,9,0,1,,0,,,,,559c2234e4b06aca36af13c6,CAPRI SUN ROARIN' WATERS BEVERAGE DRINK,559c2234e4b06aca36af13c6,,,,,,,,,,5,800,0,,,0,,,5ff371030a7214ada10005a5
87684001127,CAPRI SUN Roarin' Waters Tropical Fruit Juice Drinks 10 ct,1,1,0,10,0,1,,0,,,,,559c2234e4b06aca36af13c6,CAPRI SUN ROARIN' WATERS BEVERAGE DRINK,559c2234e4b06aca36af13c6,,,,,,,,,,5,800,0,,,0,,,5ff371030a7214ada10005a5
71040063102,,0.99,0.99,0,1,0,1,,0,,,,,,SARGENTO STRING OR STICK CHEESE,5e7cf838f221c312e698a628,,,,,,,,,,0,,1,,,0,,,5ff36dcc0a720f05230005b1
29000079236,PLANTERSe Cashew Halves & Pieces - 46 oz.,9.99,9.99,0,1,0,1,,0,,,,,559c2234e4b06aca36af13c6,PLANTERS CASHEWS,559c2234e4b06aca36af13c6,,,,,,,,,,50,800,0,,,0,,,5ff36c750a7214ada100058f
29000079236,PLANTERSe Cashew Halves & Pieces - 46 oz.,9.99,9.99,0,2,0,1,,0,,,,,559c2234e4b06aca36af13c6,PLANTERS CASHEWS,559c2234e4b06aca36af13c6,,,,,,,,,,50,800,0,,,0,,,5ff36c750a7214ada100058f
29000079236,PLANTERSe Cashew Halves & Pieces - 46 oz.,9.99,9.99,0,3,0,1,,0,,,,,559c2234e4b06aca36af13c6,PLANTERS CASHEWS,559c2234e4b06aca36af13c6,,,,,,,,,,50,800,0,,,0,,,5ff36c750a7214ada100058f
29000079236,PLANTERSe Cashew Halves & Pieces - 46 oz.,9.99,9.99,0,4,0,1,,0,,,,,559c2234e4b06aca36af13c6,PLANTERS CASHEWS,559c2234e4b06aca36af13c6,,,,,,,,,,50,800,0,,,0,,,5ff36c750a7214ada100058f
29000079236,PLANTERSe Cashew Halves & Pieces - 46 oz.,9.99,9.99,0,5,0,1,,0,,,,,559c2234e4b06aca36af13c6,PLANTERS CASHEWS,559c2234e4b06aca36af13c6,,,,,,,,,,50,800,0,,,0,,,5ff36c750a7214ada100058f
29000079236,PLANTERSe Cashew Halves & Pieces - 46 oz.,9.99,9.99,0,6,0,1,,0,,,,,559c2234e4b06aca36af13c6,PLANTERS CASHEWS,559c2234e4b06aca36af13c6,,,,,,,,,,50,800,0,,,0,,,5ff36c750a7214ada100058f
29000079236,PLANTERSe Cashew Halves & Pieces - 46 oz.,9.99,9.99,0,7,0,1,,0,,,,,559c2234e4b06aca36af13c6,PLANTERS CASHEWS,559c2234e4b06aca36af13c6,,,,,,,,,,50,800,0,,,0,,,5ff36c750a7214ada100058f
29000079236,PLANTERSe Cashew Halves & Pieces - 46 oz.,9.99,9.99,0,8,0,1,,0,,,,,559c2234e4b06aca36af13c6,PLANTERS CASHEWS,559c2234e4b06aca36af13c6,,,,,,,,,,50,800,0,,,0,,,5ff36c750a7214ada100058f
29000079236,PLANTERSe Cashew Halves & Pieces - 46 oz.,9.99,9.99,0,9,0,1,,0,,,,,559c2234e4b06aca36af13c6,PLANTERS CASHEWS,559c2234e4b06aca36af13c6,,,,,,,,,,50,800,0,,,0,,,5ff36c750a7214ada100058f
41129002292,CLASSICO Traditional Basil Pesto 14OZ 12pack,1,1,0,1,0,1,,0,,,,,559c2234e4b06aca36af13c6,CLASSICO PESTO,559c2234e4b06aca36af13c6,,,,,,,,,,5,800,0,,,0,,,5ff36d860a720f05230005a7
43000946060,K9 Crystal Chandelier with 4 Lights in Globe Shape,1,1,0,1,0,1,,0,,,,,559c2234e4b06aca36af13c6,KOOL-AID BURSTS DRINK,559c2234e4b06aca36af13c6,,,,,,,,,,5,800,0,,,0,,,5ff36d9f0a720f05230005ab
44700009888,"OSCAR MAYER Cotto Salami, 12 oz",9.99,9.99,0,1,0,1,,0,,,,,559c2234e4b06aca36af13c6,OSCAR MAYER LUNCH MEAT,559c2234e4b06aca36af13c6,,,,,,,,,,50,800,0,,,0,,,5ff36adb0a720f0523000590
44700009888,"OSCAR MAYER Cotto Salami, 12 oz",9.99,9.99,0,2,0,1,,0,,,,,559c2234e4b06aca36af13c6,OSCAR MAYER LUNCH MEAT,559c2234e4b06aca36af13c6,,,,,,,,,,50,800,0,,,0,,,5ff36adb0a720f0523000590
44700009888,"OSCAR MAYER Cotto Salami, 12 oz",9.99,9.99,0,3,0,1,,0,,,,,559c2234e4b06aca36af13c6,OSCAR MAYER LUNCH MEAT,559c2234e4b06aca36af13c6,,,,,,,,,,50,800,0,,,0,,,5ff36adb0a720f0523000590
44700009888,"OSCAR MAYER Cotto Salami, 12 oz",9.99,9.99,0,4,0,1,,0,,,,,559c2234e4b06aca36af13c6,OSCAR MAYER LUNCH MEAT,559c2234e4b06aca36af13c6,,,,,,,,,,50,800,0,,,0,,,5ff36adb0a720f0523000590
44700009888,"OSCAR MAYER Cotto Salami, 12 oz",9.99,9.99,0,5,0,1,,0,,,,,559c2234e4b06aca36af13c6,OSCAR MAYER LUNCH MEAT,559c2234e4b06aca36af13c6,,,,,,,,,,50,800,0,,,0,,,5ff36adb0a720f0523000590
21000012961,,1,1,0,1,0,1,,0,,,,,,SARGENTO STRING OR STICK CHEESE,5e7cf838f221c312e698a628,,,,,,,,,,0,,1,,,0,,,5ff36da00a7214ada100059b
21000678358,KRAFT Barbecue Roasted Garlic 18 OZ 002100067835,9.99,9.99,0,1,0,1,,0,,,,,,,559c2234e4b06aca36af13c6,,,,,,,,,,0,,0,,,0,,,5ff36dc40a7214ada100059f
21000678358,KRAFT Barbecue Roasted Garlic 18 OZ 002100067835,9.99,9.99,0,2,0,1,,0,,,,,,,559c2234e4b06aca36af13c6,,,,,,,,,,0,,0,,,0,,,5ff36dc40a7214ada100059f
21000678358,KRAFT Barbecue Roasted Garlic 18 OZ 002100067835,9.99,9.99,0,3,0,1,,0,,,,,,,559c2234e4b06aca36af13c6,,,,,,,,,,0,,0,,,0,,,5ff36dc40a7214ada100059f
21000678358,KRAFT Barbecue Roasted Garlic 18 OZ 002100067835,9.99,9.99,0,4,0,1,,0,,,,,,,559c2234e4b06aca36af13c6,,,,,,,,,,0,,0,,,0,,,5ff36dc40a7214ada100059f
21000678358,KRAFT Barbecue Roasted Garlic 18 OZ 002100067835,9.99,9.99,0,5,0,1,,0,,,,,,,559c2234e4b06aca36af13c6,,,,,,,,,,0,,0,,,0,,,5ff36dc40a7214ada100059f
21000678358,KRAFT Barbecue Roasted Garlic 18 OZ 002100067835,9.99,9.99,0,6,0,1,,0,,,,,,,559c2234e4b06aca36af13c6,,,,,,,,,,0,,0,,,0,,,5ff36dc40a7214ada100059f
21000678358,KRAFT Barbecue Roasted Garlic 18 OZ 002100067835,9.99,9.99,0,7,0,1,,0,,,,,,,559c2234e4b06aca36af13c6,,,,,,,,,,0,,0,,,0,,,5ff36dc40a7214ada100059f
21000678358,KRAFT Barbecue Roasted Garlic 18 OZ 002100067835,9.99,9.99,0,8,0,1,,0,,,,,,,559c2234e4b06aca36af13c6,,,,,,,,,,0,,0,,,0,,,5ff36dc40a7214ada100059f
21000678358,KRAFT Barbecue Roasted Garlic 18 OZ 002100067835,9.99,9.99,0,9,0,1,,0,,,,,,,559c2234e4b06aca36af13c6,,,,,,,,,,0,,0,,,0,,,5ff36dc40a7214ada100059f
44700033302,"OSCAR MAYER Carving Board Oven Roasted Turkey Breast, 7.5 oz",9.99,9.99,0,1,0,1,,0,,,,,559c2234e4b06aca36af13c6,OSCAR MAYER CARVING BOARD,559c2234e4b06aca36af13c6,,,,,,,,,,50,800,0,,,0,,,5ff3710b0a7214ada10005a7
44700033302,"OSCAR MAYER Carving Board Oven Roasted Turkey Breast, 7.5 oz",9.99,9.99,0,2,0,1,,0,,,,,559c2234e4b06aca36af13c6,OSCAR MAYER CARVING BOARD,559c2234e4b06aca36af13c6,,,,,,,,,,50,800,0,,,0,,,5ff3710b0a7214ada10005a7
44700033302,"OSCAR MAYER Carving Board Oven Roasted Turkey Breast, 7.5 oz",9.99,9.99,0,3,0,1,,0,,,,,559c2234e4b06aca36af13c6,OSCAR MAYER CARVING BOARD,559c2234e4b06aca36af13c6,,,,,,,,,,50,800,0,,,0,,,5ff3710b0a7214ada10005a7
44700033302,"OSCAR MAYER Carving Board Oven Roasted Turkey Breast, 7.5 oz",9.99,9.99,0,4,0,1,,0,,,,,559c2234e4b06aca36af13c6,OSCAR MAYER CARVING BOARD,559c2234e4b06aca36af13c6,,,,,,,,,,50,800,0,,,0,,,5ff3710b0a7214ada10005a7
